song,artist,lyric
Counting Stars,OneRepublic,"Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But, baby, I've been, I've been praying hard
Said no more counting dollars
We'll be counting stars
Yeah, we'll be counting stars

I see this life like a swinging vine
Swing my heart across the line
In my face is flashing signs
Seek it out and ye shall find

Old but I'm not that old
Young but I'm not that bold
And I don't think the world is sold
On just doing what we're told

I feel something so right by doing the wrong thing
And I feel something so wrong by doing the right thing

I couldn't lie, couldn't lie, couldn't lie
Every thing that kills me makes me feel alive

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But, baby, I've been, I've been praying hard
Said no more counting dollars
We'll be counting stars

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But, baby, I've been, I've been praying hard
Said no more counting dollars
We'll be—we'll be counting stars

I feel the love
And I feel it burn
Down this river every turn
Hope is our four-letter word
Make that money, watch it burn

Old but I'm not that old
Young but I'm not that bold
And I don't think the world is sold
On just doing what we're told

And I feel something so wrong by doing the right thing
I couldn't lie, couldn't lie, couldn't lie
Every thing that drowns me makes me wanna fly

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But, baby, I've been, I've been praying hard
Said no more counting dollars
We'll be counting stars

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But, baby, I've been, I've been praying hard
Said no more counting dollars
We'll be—we'll be counting stars

Oh, take that money watch it burn
Sink in the river the lessons I've learned
Take that money watch it burn
Sink in the river the lessons I've learned
Take that money watch it burn
Sink in the river the lessons I've learned
Take that money watch it burn
Sink in the river the lessons I've learned

Every thing that kills me makes me feel alive

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But, baby, I've been, I've been praying hard
Said no more counting dollars
We'll be counting stars

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But, baby, I've been, I've been praying hard
Said no more counting dollars
We'll be—we'll be counting stars

Take that money watch it burn
Sink in the river the lessons I've learned
Take that money watch it burn
Sink in the river the lessons I've learned
Take that money watch it burn
Sink in the river the lessons I've learned
Take that money watch it burn
Sink in the river the lessons I've learned"
Grenade,Bruno Mars,"Easy come, easy go
That's just how you live, oh
Take, take, take it all
But you never give
Should've known you was trouble
From the first kiss
Had your eyes wide open
Why were they open?

Gave you all I had
And you tossed it in the trash
You tossed it in the trash, you did
To give me all your love is all I ever asked
'Cause what you don't understand is...

I'd catch a grenade for you (yeah, yeah, yeah)
Throw my hand on a blade for you (yeah, yeah, yeah)
I'd jump in front of a train for you (yeah, yeah, yeah)
You know I'd do anything for you (yeah, yeah, yeah)
Oh, I would go through all this pain
Take a bullet straight through my brain
Yes, I would die for you, baby
But you won't do the same

No, no, no, no

Black, black, black and blue
Beat me 'til I'm numb
Tell the devil I said ""Hey"" when you get back to where you're from
Mad woman, bad woman
That's just what you are
Yeah, you'll smile in my face then rip the brakes out my car

Gave you all I had
And you tossed it in the trash
You tossed it in the trash, yes you did
To give me all your love is all I ever asked
'Cause what you don't understand is...

I'd catch a grenade for you (yeah, yeah, yeah)
Throw my hand on a blade for you (yeah, yeah, yeah)
I'd jump in front of a train for you (yeah, yeah, yeah)
You know I'd do anything for you (yeah, yeah, yeah)
Oh, I would go through all this pain
Take a bullet straight through my brain
Yes, I would die for you, baby
But you won't do the same

If my body was on fire
Oh, you'd watch me burn down in flames
You said you loved me, you're a liar
'Cause you never, ever, ever did, baby

But, darling, I'd still catch a grenade for you (yeah, yeah, yeah)
Throw my hand on a blade for you (yeah, yeah, yeah)
I'd jump in front of a train for you (yeah, yeah, yeah)
You know I'd do anything for you (yeah, yeah, yeah)
Oh, I would go through all this pain
Take a bullet straight through my brain
Yes, I would die for you, baby
But you won't do the same

No, you won't do the same
You wouldn't do the same
Oh, you'd never do the same
Oh, no no no, oh"
Not Afraid,Eminem,"I'm not afraid (I'm not afraid)
To take a stand (to take a stand)
Everybody (everybody)
Come take my hand (come take my hand)
We'll walk this road together, through the storm
Whatever weather, cold or warm
Just letting you know that you're not alone
Holler if you feel like you've been down the same road (same road)

Yeah, it's been a ride
I guess I had to, go to that place, to get to this one
Now some of you, might still be in that place
If you're trying to get out, just follow me
I'll get you there

You can try and read my lyrics off of this paper before I lay 'em
But you won't take the sting out these words before I say 'em
'Cause ain't no way I'mma let you stop me from causing mayhem
When I say I'mma do something I do it
I don't give a damn what you think
I'm doing this for me, so fuck the world
Feed it beans, it's gassed up, if it thinks it's stopping me
I'mma be what I set out to be, without a doubt undoubtedly
And all those who look down on me I'm tearing down your balcony
No ifs, ands or buts, don't try to ask him why or how can he
From ""Infinite"" down to the last ""Relapse"" album
He's still shitting, whether he's on salary paid hourly
Until he bows out or he shits his bowels out of him
Whichever comes first, for better or worse
He's married to the game, like a ""fuck you"" for Christmas
His gift is a curse, forget the Earth, he's got the urge
To pull his dick from the dirt, and fuck the whole universe

I'm not afraid (I'm not afraid)
To take a stand (to take a stand)
Everybody (everybody)
Come take my hand (come take my hand)
We'll walk this road together, through the storm
Whatever weather, cold or warm
Just letting you know that you're not alone
Holler if you feel like you've been down the same road (same road)

Okay quit playing with the scissors and shit, and cut the crap
I shouldn't have to rhyme these words in a rhythm for you to know it's a rap
You said you was king, you lied through your teeth
For that fuck your feelings
Instead of getting crowned you're getting capped
And to the fans, I'll never let you down again, I'm back
I promise to never go back on that promise
In fact let's be honest
That last ""Relapse"" CD was ""ehh""
Perhaps I ran them accents into the ground
Relax, I ain't going back to that now
All I'm trying to say is get back, click-clack, blow
'Cause I ain't playing around
There's a game called circle and I don't know how, I'm way too up to back down
But I think I'm still trying to figure this crap out
Thought I had it mapped out but I guess I didn't, this fucking black cloud
Still follows me around but it's time to exorcise these demons
These motherfuckers are doing jumping jacks now!

I'm not afraid (I'm not afraid)
To take a stand (to take a stand)
Everybody (everybody)
Come take my hand (come take my hand)
We'll walk this road together, through the storm
Whatever weather, cold or warm
Just letting you know that you're not alone
Holler if you feel like you've been down the same road (same road)

And I just can't keep living this way
So starting today, I'm breaking out of this cage
I'm standing up, I'mma face my demons
I'm manning up, I'mma hold my ground
I've had enough, now I'm so fed up
Time to put my life back together right now! (now)

It was my decision to get clean, I did it for me
Admittedly, I probably did it subliminally
For you, so I could come back a brand-new me you helped see me through
And don't even realize what you did, 'cause believe me you
I've been through the wringer, but they could do little to the middle finger
I think I got a tear in my eye, I feel like the king of
My world, haters can make like bees with no stingers
And drop dead, no more beef lingers
No more drama from now on, I wanna promise
To focus solely on handling my responsibilities as a father
So I solemnly swear to always treat this roof, like my daughters
And raise it, you couldn't lift a single shingle on it!
'Cause the way I feel, I'm strong enough to go to the club
Or the corner pub, and lift the whole liquor counter up
'Cause I'm raising the bar
I'd shoot for the moon but I'm too busy gazing at stars
I feel amazing and I'm...

I'm not afraid (I'm not afraid)
To take a stand (to take a stand)
Everybody (everybody)
Come take my hand (come take my hand)
We'll walk this road together, through the storm
Whatever weather, cold or warm
Just letting you know that you're not alone
Holler if you feel like you've been down the same road (same road)"
Stronger,Kanye West,"[Daft Punk:]
Work it, make it, do it, makes us
Harder, better, faster, stronger

[Kanye West and Daft Punk:]
N-Now th-that that don't kill me
Can only make us stronger
I need you to hurry up now
'Cause I can't wait much longer
I know I got to be right now
'Cause I can't get much wronger
Man, I've been waiting all night now
That's how long I been on ya
(Work it harder, make it better
Do it faster, makes us stronger)
(I need you right now!)
(More than ever, hour after hour
Work–)
(I need you right now!)

[Kanye West:]
Let's get lost tonight
You could be my black Kate Moss tonight
Play secretary, I'm the boss tonight
And you don't give a fuck what they all say, right?
Awesome, the Christian in Christian Dior
Damn, they don't make 'em like this anymore
I ask, 'cause I'm not sure
Do anybody make real shit anymore?
Bow in the presence of greatness
'Cause right now, thou hast forsaken us
You should be honored by my lateness
That I would even show up to this fake shit
So go ahead, go nuts, go apeshit!
'Specially in my Pastellé, on my Bape shit
Act like you can't tell who made this
New Gospel, homie, take six
And take this, haters!

[Kanye West and Daft Punk:]
N-Now th-that that don't kill me
Can only make me stronger
I need you to hurry up now
'Cause I can't wait much longer
I know I got to be right now
'Cause I can't get much wronger
Man, I've been waiting all night now
That's how long I been on ya
(Work it harder, make it better
Do it faster, makes us stronger)
(I need you right now!)
(More than ever, hour after hour
Work–)
(I need you right now!) Me likey!

[Kanye West and Daft Punk:]
I don't know if you got a man or not
If you made plans or not
If God put me in your plans or not
I'm trippin', this drink got me saying a lot
But I know that God put you in front of me
So how the hell could you front on me?
There's a thousand you's, there's only one of me
I'm trippin', I'm caught up in the moment, right?
'Cause it's Louis Vuitton Don night
So we gon' do everything that Kan like
Heard they'd do anything for a Klondike
Well, I'd do anything for a blonde dyke
And she'll do anything for the limelight
And we'll do anything when the time's right
Uh, baby, you're makin' it–
(Harder, better, faster, stronger)

N-Now th-that that don't kill me (Oh)
Can only make me stronger (Oh)
I need you to hurry up now (Oh)
'Cause I can't wait much longer (Oh)
I know I got to be right now (Oh)
'Cause I can't get much wronger (Oh)
Man, I've been waiting all night now
That's how long I been on ya
(Work it harder, make it better
Do it faster, makes us stronger)
(I need you right now!)
(I need you right now!)

You know how long I've been on ya
Since Prince was on Apollonia
Since O.J. had Isotoners
Don't act like I never told ya
Don't act like I never told ya
Don't act like I never told ya
Don't act like I never told ya
Don't act like I never told ya
Baby, you're makin' it
(Harder, better, faster, stronger)

N-Now th-that that don't kill me
Can only make me stronger
I need you to hurry up now
'Cause I can't wait much longer
I know I got to be right now
'Cause I can't get much wronger
Man, I've been waiting all night now
That's how long I been on ya
(Work it harder, make it better
Do it faster, makes us stronger)
(I need you right now!)
(I need you right now!)
Right now!
Work it harder, make it better
Do it faster, makes us stronger
(I need you right now!)
(I need you right now!)

You know how long I've been on ya
Since Prince was on Apollonia
Since O.J. had Isotoners
Don't act like I never told ya
You know how long I've been on ya
Since Prince was on Apollonia
Since O.J. had Isotoners
Don't act like I never told ya told ya told ya
Never told ya…told ya told ya told ya
Never told ya…told ya told ya told ya
Never told ya…told ya told ya told ya
Never told ya…told ya told ya told ya
Never over…Never over… Never over… Never over…
Never over…Never over… Never over… Never over…
(Harder, better, faster, stronger)
Work it harder, make it better
Do it faster, makes us stronger
More than ever, hour after
Our work is never over
Work it harder, make it better
Do it faster, makes us stronger
More than ever, hour after—
Our work is never over
Work it harder, make it better
Do it faster, makes us stronger
More than ever, hour after hour
Work is never over
Work it harder, make it better
Do it faster, makes us stronger
More than ever, hour after hour
Work is never over"
Demons,Imagine Dragons,"When the days are cold
And the cards all fold
And the saints we see
Are all made of gold

When your dreams all fail
And the ones we hail
Are the worst of all
And the blood's run stale

I wanna hide the truth
I wanna shelter you
But with the beast inside
There's nowhere we can hide

No matter what we breed
We still are made of greed
This is my kingdom come
This is my kingdom come

When you feel my heat
Look into my eyes
It's where my demons hide
It's where my demons hide
Don't get too close
It's dark inside
It's where my demons hide
It's where my demons hide

At the curtain's call
It's the last of all
When the lights fade out
All the sinners crawl

So they dug your grave
And the masquerade
Will come calling out
At the mess you made

Don't wanna let you down
But I am hell bound
Though this is all for you
Don't wanna hide the truth

No matter what we breed
We still are made of greed
This is my kingdom come
This is my kingdom come

When you feel my heat
Look into my eyes
It's where my demons hide
It's where my demons hide
Don't get too close
It's dark inside
It's where my demons hide
It's where my demons hide

They say it's what you make
I say it's up to fate
It's woven in my soul
I need to let you go

Your eyes, they shine so bright
I wanna save that light
I can't escape this now
Unless you show me how

When you feel my heat
Look into my eyes
It's where my demons hide
It's where my demons hide
Don't get too close
It's dark inside
It's where my demons hide
It's where my demons hide"
Royals,Lorde,"I've never seen a diamond in the flesh
I cut my teeth on wedding rings in the movies
And I'm not proud of my address
In a torn-up town, no postcode envy

But every song's like gold teeth, Grey Goose, trippin' in the bathroom
Bloodstains, ball gowns, trashin' the hotel room
We don't care, we're driving Cadillacs in our dreams
But everybody's like Cristal, Maybach, diamonds on your timepiece
Jet planes, islands, tigers on a gold leash
We don't care, we aren't caught up in your love affair

And we'll never be royals (royals)
It don't run in our blood
That kind of luxe just ain't for us
We crave a different kind of buzz
Let me be your ruler (ruler)
You can call me Queen Bee
And baby I'll rule, I'll rule, I'll rule, I'll rule
Let me live that fantasy

My friends and I, we've cracked the code
We count our dollars on the train to the party
And everyone who knows us knows that we're fine with this
We didn't come from money

But every song's like gold teeth, Grey Goose, trippin' in the bathroom
Bloodstains, ball gowns, trashin' the hotel room
We don't care, we're driving Cadillacs in our dreams
But everybody's like Cristal, Maybach, diamonds on your timepiece
Jet planes, islands, tigers on a gold leash
We don't care, we aren't caught up in your love affair

And we'll never be royals (royals)
It don't run in our blood
That kind of luxe just ain't for us
We crave a different kind of buzz
Let me be your ruler (ruler)
You can call me Queen Bee
And baby I'll rule, I'll rule, I'll rule, I'll rule
Let me live that fantasy

Ooh ooh oh
We're bigger than we ever dreamed
And I'm in love with being queen
Ooh ooh oh
Life is great without a care
We aren't caught up in your love affair

And we'll never be royals (royals)
It don't run in our blood
That kind of luxe just ain't for us
We crave a different kind of buzz
Let me be your ruler (ruler)
You can call me Queen Bee
And baby I'll rule, I'll rule, I'll rule, I'll rule
Let me live that fantasy"
I'm Yours,Jason Mraz,"Well, you done done me and you bet I felt it
I tried to be chill, but you're so hot that I melted
I fell right through the cracks
Now I'm trying to get back

Before the cool done run out
I'll be giving it my bestest
And nothing's gonna stop me but divine intervention
I reckon, it's again my turn
To win some or learn some

But I won't hesitate
No more, no more
It cannot wait
I'm yours

Well, open up your mind and see like me
Open up your plans and damn you're free
And look into your heart and you'll find love, love, love, love
Listen to the music of the moment, people dance and sing, we're just one big family
And it's our God-forsaken right to be loved, loved, loved, loved, loved

So I won't hesitate
No more, no more
It cannot wait
I'm sure
There's no need to complicate
Our time is short
This is our fate
I'm yours

But don't you want to come on and scooch on over closer, dear
And I will nibble your ear

I've been spending way too long checking my tongue in the mirror
And bending over backwards just to try to see it clearer
But my breath fogged up the glass
And so I drew a new face and I laughed

I guess what I'll be saying is there ain't no better reason
To rid yourself of vanities and just go with the seasons
It's what we aim to do
Our name is our virtue

But I won't hesitate
No more, no more
It cannot wait
I'm yours

Well, open up your mind and see like me
Open up your plans and damn you're free
Look into your heart and you'll find that the sky is yours
So please don't, please don't, please don't
There's no need to complicate
'Cause our time is short
This oh, this oh, this is our fate
I'm yours

Oh, I'm yours
Oh, I'm yours
Oh, oh
Baby, do believe I'm yours?
You best believe, you best believe, I'm yours"
Bohemian Rhapsody,Queen,"Is this the real life?
Is this just fantasy?
Caught in a landslide
No escape from reality

Open your eyes
Look up to the skies and see
I'm just a poor boy, I need no sympathy
Because I'm easy come, easy go
Little high, little low
Any way the wind blows
Doesn't really matter to me, to me

Mama, just killed a man
Put a gun against his head
Pulled my trigger, now he's dead
Mama, life had just begun
But now I've gone and thrown it all away

Mama, ooh
Didn't mean to make you cry
If I'm not back again this time tomorrow
Carry on, carry on as if nothing really matters

Too late, my time has come
Sends shivers down my spine
Body's aching all the time
Goodbye, everybody, I've got to go
Gotta leave you all behind and face the truth

Mama, ooh (Any way the wind blows)
I don't wanna die
I sometimes wish I'd never been born at all

I see a little silhouetto of a man
Scaramouche, Scaramouche, will you do the Fandango?
Thunderbolt and lightning very, very frightening me
(Galileo) Galileo
(Galileo) Galileo
Galileo Figaro
Magnifico-o-o-o-o

I'm just a poor boy, nobody loves me
He's just a poor boy from a poor family
Spare him his life from this monstrosity

Easy come, easy go, will you let me go?
Bismillah! No, we will not let you go (Let him go!)
Bismillah! We will not let you go (Let him go!)
Bismillah! We will not let you go (Let me go!)
Will not let you go (Let me go!)
Never let you go (Never, never, never, never let me go)
Oh oh oh oh
No, no, no, no, no, no, no
Oh, mamma mia, mamma mia (Mamma mia, let me go)
Beelzebub has a devil put aside for me, for me, for me

So you think you can stone me and spit in my eye?
So you think you can love me and leave me to die?
Oh, baby, can't do this to me, baby
Just gotta get out, just gotta get right outta here

Ooh, ooh yeah, ooh yeah

Nothing really matters
Anyone can see
Nothing really matters
Nothing really matters to me

Any way the wind blows"
"Hey, Soul Sister",Train,"Hey, hey, hey

Your lipstick stains
On the front lobe of my left-side brains
I knew I wouldn't forget you
And so I went and let you
Blow my mind

Your sweet moonbeam
The smell of you in every single dream
I dream
I knew when we collided
You're the one I have decided
Who's one of my kind

Hey, soul sister
Ain't that Mr. Mister
On the radio, stereo?
The way you move ain't fair, you know
Hey, soul sister
I don't wanna miss
A single thing you do tonight

Hey, hey, hey

Just in time
I'm so glad you have a one-track mind
Like me
You gave my life direction
A game-show love connection
We can't deny

I'm so obsessed
My heart is bound to beat right out of my untrimmed chest
I believe in you, like a virgin, you're Madonna
And I'm always gonna wanna
Blow your mind

Hey, soul sister
Ain't that Mr. Mister
On the radio, stereo?
The way you move ain't fair you know
Hey, soul sister
I don't wanna miss
A single thing you do tonight

Way you can cut a rug
Watching you's the only drug
I need
So gangster, I'm so thug
You're the only one I'm dreaming of

You see
I can be myself now finally
In fact there's nothing I can't be
I want the world to see you'll be
With me

Hey, soul sister
Ain't that Mr. Mister
On the radio, stereo?
The way you move ain't fair you know
Hey, soul sister
I don't wanna miss
A single thing you do tonight

Hey, soul sister
I don't wanna miss
A single thing you do tonight
Hey, hey, hey, tonight
Hey, hey, hey, tonight"
Stay with Me,Sam Smith,"Guess it's true, I'm not good at a one-night stand
But I still need love 'cause I'm just a man
These nights never seem to go to plan
I don't want you to leave, will you hold my hand?

Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But, darling, stay with me

Why am I so emotional?
No, it's not a good look, gain some self-control
And deep down I know this never works
But you can lay with me so it doesn't hurt

Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But, darling, stay with me

Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But, darling, stay with me

Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But, darling, stay with me"
Pumped Up Kicks,Foster the People,"Robert's got a quick hand
He'll look around the room
He won't tell you his plan
He's got a rolled cigarette
Hanging out his mouth
He's a cowboy kid

Yeah he found a six-shooter gun
In his dad's closet with a box of fun things
I don't even know what
But he's coming for you, yeah he's coming for you, wait

All the other kids with the pumped up kicks
You better run, better run, outrun my gun
All the other kids with the pumped up kicks
You better run, better run, faster than my bullet

All the other kids with the pumped up kicks
You better run, better run, outrun my gun
All the other kids with the pumped up kicks
You better run, better run, faster than my bullet

Daddy works a long day
He be coming home late, and he's coming home late
And he's bringing me a surprise
'Cause dinner's in the kitchen and it's packed in ice

I've waited for a long time
Yeah the sleight of my hand is now a quick-pull trigger
I reason with my cigarette
And say, ""Your hair's on fire, you must've lost your wits?""
Yeah

All the other kids with the pumped up kicks
You better run, better run, outrun my gun
All the other kids with the pumped up kicks
You better run, better run, faster than my bullet

All the other kids with the pumped up kicks
You better run, better run, outrun my gun
All the other kids with the pumped up kicks
You better run, better run, faster than my bullet

Run, run, run, run, ru-ru-ru-run, run, run
Ru-ru-ru-run, run, run, run
Ru-ru-ru-run, run, run, run, run, run

All the other kids with the pumped up kicks
You better run, better run, outrun my gun
All the other kids with the pumped up kicks
You better run, better run, faster than my bullet

All the other kids with the pumped up kicks
You better run, better run, outrun my gun
All the other kids with the pumped up kicks
You better run, better run, faster than my bullet

All the other kids with the pumped up kicks
You better run, better run, outrun my gun
All the other kids with the pumped up kicks
You better run, better run, faster than my bullet"
All I Want For Christmas Is You,Mariah Carey,"I don't want a lot for Christmas
There is just one thing I need
I don't care about the presents
Underneath the Christmas tree

I just want you for my own
More than you could ever know
Make my wish come true
All I want for Christmas is you, yeah

I don't want a lot for Christmas
There is just one thing I need
And I don't care about the presents
Underneath the Christmas tree

I don't need to hang my stocking
There upon the fireplace
Santa Claus won't make me happy
With a toy on Christmas Day

I just want you for my own
More than you could ever know
Make my wish come true
All I want for Christmas is you
You, baby

Oh, I won't ask for much this Christmas
I won't even wish for snow
And I'm just gonna keep on waiting
Underneath the mistletoe

I won't make a list and send it
To the North Pole for Saint Nick
I won't even stay awake to
Hear those magic reindeer click

'Cause I just want you here tonight
Holding on to me so tight
What more can I do?
Baby, all I want for Christmas is you
You, baby

Oh, all the lights are shining so brightly everywhere
And the sound of children's laughter fills the air

And everyone is singing
I hear those sleigh bells ringing
Santa, won't you bring me the one I really need?
Won't you please bring my baby to me?

Oh, I don't want a lot for Christmas
This is all I'm asking for
I just wanna see my baby
Standing right outside my door

Oh, I just want you for my own
More than you could ever know
Make my wish come true
Baby, all I want for Christmas is you
You, baby

All I want for Christmas is you, baby [repeat with ad-libs until fade]"
Trap Queen,Fetty Wap,"RGF productions
Remy Boyz, yah-ah
1738

I'm like ""Hey, what's up? Hello""
Seen your pretty ass soon as you came in the door
I just wanna chill, got a sack for us to roll
Married to the money, introduced her to my stove
Showed her how to whip it, now she remixing for low
She my trap queen, let her hit the bando
We be counting up, watch how far them bands go
We just set a goal, talking matching Lambos
At 56 a gram, 5 a 100 grams though
Man, I swear I love her, how she work the damn pole
Hit the strip club, we be letting bands go
Everybody hating, we just call them fans, though
In love with the money, I ain't never letting go

And I get high with my baby
I just left the mall, I'm getting fly with my baby, yeah
And I can ride with my baby
I be in the kitchen cooking pies with my baby, yeah
And I can ride with my baby
I just left the mall, I'm getting fly with my baby, yeah
And I can ride with my baby
I be in the kitchen cooking pies

I'm like, ""Hey, what's up? Hello""

I hit the strip with my trap queen, 'cause all we know is bands
I just might snatch up a 'Rari and buy my boo a Lamb'
I might just snatch her a necklace, drop a couple on a ring
She ain't wanting for nothing because I got her everything
It's big ZooWap from the bando
Remind me where I can't go
Remy Boyz got the stamp though
Count up hella them bands though
Boy how far can your bands go?
Fetty Wap, I'm living fifty thousand K how I stand though
If you checking for my pockets I'm like…

And I get high with my baby
I just left the mall, I'm getting fly with my baby, yeah
And I can ride with my baby
I be in the kitchen cooking pies with my baby, yeah
And I can ride with my baby
I just left the mall, I'm getting fly with my baby, yeah
And I can ride with my baby
I be in the kitchen cooking pies

I'm like, ""Hey, what's up? Hello""
Seen yo pretty ass soon as you came in the door
I just wanna chill, got a sack for us to roll
Married to the money, introduced her to my stove
Showed her how to whip it, now she remixing for low
She my trap queen, let her hit the bando
We be counting up, watch how far them bands go
We just set a goal, talking matching Lambos
At 56 a gram, 5 a 100 grams though
Man, I swear I love her how she work the damn pole
Hit the strip club, we be letting bands go
Everybody hating, we just call them fans though
In love with the money, I ain't never letting go

I be smoking dope and you know Backwoods what I roll
Remy Boyz, Fetty eating shit up, that's fasho
I'll run in ya house, then I'll fuck your hoe
'Cause Remy Boyz or nothing
Re-Re-Remy Boyz or nothing

[Nitt Da Gritt:]
(She my trap queen)
Yeah, you hear my boy
(She my trap queen)
Sounding like a zillion bucks on the track
(She my trap queen)
I got whatever on my boy, whatever
(And I get high with my baby)
Put your money where your mouth is
Money on the wood make the game go good
Money out of sight cause fights
Put up or shut up, huh?
Nitt Da Gritt, RGF Productions
(ZooWap)"
Perfect,Ed Sheeran,"I found a love for me
Darling, just dive right in and follow my lead
Well, I found a girl, beautiful and sweet
Oh, I never knew you were the someone waiting for me

'Cause we were just kids when we fell in love
Not knowing what it was
I will not give you up this time
But darling, just kiss me slow
Your heart is all I own
And in your eyes you're holding mine

Baby, I'm dancing in the dark
With you between my arms
Barefoot on the grass
Listening to our favourite song
When you said you looked a mess
I whispered underneath my breath
But you heard it,
Darling, you look perfect tonight

Well, I found a woman, stronger than anyone I know
She shares my dreams, I hope that someday I'll share her home
I found a love to carry more than just my secrets
To carry love, to carry children of our own

We are still kids but we're so in love
Fighting against all odds
I know we'll be alright this time
Darling, just hold my hand
Be my girl, I'll be your man
I see my future in your eyes

Baby, I'm dancing in the dark
With you between my arms
Barefoot on the grass
Listening to our favourite song
When I saw you in that dress
Looking so beautiful
I don't deserve this
Darling, you look perfect tonight

No, no, no

Baby, I'm dancing in the dark
With you between my arms
Barefoot on the grass
Listening to our favourite song
I have faith in what I see
Now I know I have met an angel in person
And she looks perfect
I don't deserve this
You look perfect tonight"
Shape of You,Ed Sheeran,"The club isn't the best place to find a lover
So the bar is where I go (mmmm)
Me and my friends at the table doing shots
Drinking fast and then we talk slow (mmmm)
And you come over and start up a conversation with just me
And trust me I'll give it a chance now (mmmm)
Take my hand, stop, put Van The Man on the jukebox
And then we start to dance
And now I'm singing like

Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead (mmmm)

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
I'm in love with your body

Oh I oh I oh I oh I
I'm in love with your body
Oh I oh I oh I oh I
I'm in love with your body
Oh I oh I oh I oh I
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you

One week in we let the story begin
We're going out on our first date (mmmm)
You and me are thrifty, so go all you can eat
Fill up your bag and I fill up a plate (mmmm)
We talk for hours and hours about the sweet and the sour
And how your family is doing okay (mmmm)
And leave and get in a taxi, then kiss in the backseat
Tell the driver make the radio play
And I'm singing like

Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead (mmmm)

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
I'm in love with your body

Oh I oh I oh I oh I
I'm in love with your body
Oh I oh I oh I oh I
I'm in love with your body
Oh I oh I oh I oh I
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you

Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
I'm in love with your body

Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you"
